ID,Modello,Difficoltà,Numero tessere,Dimensione scacchiera,Tempo esecuzione (s),Totale tessere,Tessere inserite,Tessere non inserite,solver,batch,Modello_Solver
10,domino_base,hard,15,15,4.614645719528198,15,15,0,chuffed,3,domino_base_chuffed
1,domino_orientamento,easy,4,3,0.1299173831939697,4,2,2,Gecode,4,domino_orientamento_Gecode
1,domino_posizione,easy,4,3,0.1423530578613281,4,2,2,Gecode,4,domino_posizione_Gecode
1,domino_base,easy,4,3,0.1305184364318847,4,2,2,Gecode,4,domino_base_Gecode
1,domino_inserite,easy,4,3,0.126600980758667,4,2,2,Gecode,4,domino_inserite_Gecode
2,domino_orientamento,easy,3,3,0.1086025238037109,3,2,1,Gecode,4,domino_orientamento_Gecode
2,domino_posizione,easy,3,3,0.1063675880432128,3,2,1,Gecode,4,domino_posizione_Gecode
2,domino_base,easy,3,3,0.1054785251617431,3,2,1,Gecode,4,domino_base_Gecode
2,domino_inserite,easy,3,3,0.1049849987030029,3,2,1,Gecode,4,domino_inserite_Gecode
3,domino_orientamento,easy,4,3,0.1282675266265869,4,2,2,Gecode,4,domino_orientamento_Gecode
3,domino_posizione,easy,4,3,0.1466948986053466,4,2,2,Gecode,4,domino_posizione_Gecode
3,domino_base,easy,4,3,0.1343626976013183,4,2,2,Gecode,4,domino_base_Gecode
3,domino_inserite,easy,4,3,0.1267457008361816,4,2,2,Gecode,4,domino_inserite_Gecode
4,domino_orientamento,easy,3,5,0.1025421619415283,3,3,0,Gecode,4,domino_orientamento_Gecode
4,domino_posizione,easy,3,5,0.1008746623992919,3,3,0,Gecode,4,domino_posizione_Gecode
4,domino_base,easy,3,5,0.1057298183441162,3,3,0,Gecode,4,domino_base_Gecode
4,domino_inserite,easy,3,5,0.1084101200103759,3,3,0,Gecode,4,domino_inserite_Gecode
5,domino_orientamento,medium,6,8,0.1501312255859375,6,6,0,Gecode,4,domino_orientamento_Gecode
5,domino_posizione,medium,6,8,5.567323923110962,6,6,0,Gecode,4,domino_posizione_Gecode
5,domino_base,medium,6,8,0.1556565761566162,6,6,0,Gecode,4,domino_base_Gecode
5,domino_inserite,medium,6,8,0.1569783687591552,6,6,0,Gecode,4,domino_inserite_Gecode
6,domino_orientamento,medium,10,9,0.3640279769897461,10,10,0,Gecode,4,domino_orientamento_Gecode
